autoID,SeniorCity,Partner,Dependents,Service1,Service2,Security,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,Charges,Demand,Class
7590-VHVEG,0,Yes,No,No,No phone service,No,Yes,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,Alpha
5575-GNVDE,0,No,No,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,56.95,1889.5,Alpha
3668-QPYBK,0,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Betha
7795-CFOCW,0,No,No,No,No phone service,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),42.3,1840.75,Alpha
9237-HQITU,0,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Betha
9305-CDSKC,0,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,99.65,820.5,Betha
1452-KIOVK,0,No,Yes,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,Alpha
6713-OKOMC,0,No,No,No,No phone service,Yes,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,Alpha
7892-POOKP,0,Yes,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Betha
6388-TABGU,0,No,Yes,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,Alpha
9763-GRSKD,0,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,Alpha
7469-LKBCI,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,Alpha
8091-TTVAX,0,Yes,No,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),100.35,5681.1,Alpha
0280-XJGEX,0,No,No,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Betha
5129-JLPIS,0,No,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,Alpha
3655-SNQYZ,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,Alpha
8191-XWSZG,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,Alpha
9959-WOFKT,0,No,Yes,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),106.7,7382.25,Alpha
4190-MFLUW,0,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),55.2,528.35,Betha
4183-MYFRB,0,No,No,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,90.05,1862.9,Alpha
8779-QRDMV,1,No,No,No,No phone service,No,No,Yes,No,Month-to-month,Yes,Electronic check,39.65,39.65,Betha
1680-VDCWW,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,Alpha
1066-JKSGK,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Betha
3638-WEABW,0,Yes,No,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),59.9,3505.1,Alpha
6322-HRPFA,0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),59.6,2970.3,Alpha
6865-JZNKO,0,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,Alpha
6467-CHFZW,0,Yes,Yes,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,99.35,4749.15,Betha
8665-UTDHZ,0,Yes,Yes,No,No phone service,No,Yes,No,No,Month-to-month,No,Electronic check,30.2,30.2,Betha
5248-YGIJN,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,Alpha
8773-HHUOZ,0,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,64.7,1093.1,Betha
3841-NFECX,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),96.35,6766.95,Alpha
4929-XIHVW,1,Yes,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Alpha
6827-IEAUQ,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,66.15,1874.45,Alpha
7310-EGVHZ,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Alpha
3413-BMNZE,1,No,No,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,Alpha
6234-RAAPL,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),99.9,7251.7,Alpha
6047-YHPVI,0,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Betha
6572-ADKRS,0,No,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Alpha
5380-WJKOV,0,No,No,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,106.35,3549.25,Betha
8168-UQWWF,0,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Betha
8865-TNMNX,0,Yes,Yes,Yes,No,No,Yes,No,No,One year,No,Mailed check,49.55,475.7,Alpha
9489-DEDVP,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),69.2,4872.35,Alpha
9867-JCZSP,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,Alpha
4671-VJLCL,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.85,4861.45,Alpha
4080-IIARD,0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,76.2,981.45,Alpha
3714-NTNFO,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,84.5,3906.7,Alpha
5948-UJZLF,0,No,No,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.25,97,Alpha
7760-OYPDY,0,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.65,144.15,Betha
7639-LIAYI,0,No,No,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,Alpha
2954-PIBKO,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),64.15,4254.1,Alpha
8012-SOUDQ,1,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.25,3838.75,Alpha
9420-LOJKX,0,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Betha
6575-SUVOI,1,Yes,No,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,Alpha
7495-OOKFY,1,Yes,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Betha
4667-QONEA,1,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,Alpha
1658-BYGOY,1,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,95.45,1752.55,Betha
8769-KKTPH,0,Yes,Yes,Yes,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),99.65,6311.2,Alpha
5067-XJQFU,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,Alpha
3957-SQXML,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,Alpha
5954-BDFSG,0,No,No,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,Alpha
0434-CSFON,0,Yes,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,100.5,4707.1,Alpha
1215-FIGMP,0,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Alpha
0526-SXDJP,0,Yes,No,No,No phone service,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),42.1,2962,Alpha
0557-ASKVU,0,Yes,Yes,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),54.4,957.1,Alpha
5698-BQJOH,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,94.4,857.25,Betha
5122-CYFXA,0,No,No,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,Alpha
8627-ZYGSZ,0,Yes,No,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,78.9,3650.35,Alpha
3410-YOQBQ,0,No,No,Yes,No,No,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,Alpha
3170-NMYVV,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,Alpha
7410-OIEDU,0,No,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,79.85,887.35,Alpha
2273-QCKXA,0,No,No,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,49.05,49.05,Alpha
0731-EBJQB,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,Alpha
1891-QRQSA,1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,Alpha
8028-PNXHQ,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,Alpha
5630-AHZIL,0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,Alpha
2673-CXQEU,1,No,No,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,110.5,6139.5,Alpha
6416-JNVRK,0,No,No,Yes,No,No,No,No,No,One year,No,Credit card (automatic),55.65,2688.85,Alpha
5590-ZSKRV,0,Yes,Yes,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,54.65,482.25,Alpha
0191-ZHSKZ,1,No,No,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,74.75,2111.3,Alpha
3887-PBQAO,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,Alpha
5919-TMRGD,0,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.35,79.35,Betha
8108-UXRQN,0,Yes,Yes,No,No phone service,Yes,No,No,No,Month-to-month,No,Electronic check,50.55,565.35,Alpha
9191-MYQKX,0,Yes,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Betha
9919-YLNNG,0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Alpha
0318-ZOPWS,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,Alpha
4445-ZJNMU,0,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Alpha
4808-YNLEU,0,Yes,No,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,Alpha
1862-QRWPE,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,Alpha
2796-NNUFI,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,Alpha
3016-KSVCP,0,Yes,No,No,No phone service,No,No,No,No,Month-to-month,No,Mailed check,33.75,1009.25,Alpha
4767-HZZHQ,0,Yes,Yes,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Alpha
2424-WVHPL,1,No,No,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,74.7,74.7,Alpha
7233-PAHHL,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,84,5714.25,Alpha
6067-NGCEU,0,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),111.05,7107,Alpha
9848-JQJTX,0,No,No,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Alpha
8637-XJIVR,0,No,No,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Betha
9803-FTJCG,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),66.85,4748.7,Alpha
0278-YXOOG,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Betha
3212-KXOCR,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21,1107.2,Alpha
4598-XLKNJ,1,Yes,No,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.5,2514.5,Betha
6380-ARCEH,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,Alpha
3679-XASPY,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,Alpha
7123-WQUHX,0,No,No,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),95,3605.6,Alpha
5386-THSLQ,1,Yes,No,No,No phone service,No,Yes,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,Alpha
3192-NQECA,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110,7611.85,Betha
6180-YBIQI,0,No,No,No,No phone service,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,Alpha
6728-DKUCO,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,104.15,7303.05,Alpha
9750-BOOHV,0,No,No,No,No phone service,Yes,No,No,No,One year,No,Mailed check,30.15,927.65,Alpha
8597-CWYHH,0,No,No,Yes,Yes,No,No,No,No,One year,No,Mailed check,94.35,3921.3,Alpha
2848-YXSMW,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,Alpha
0486-HECZI,0,Yes,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Betha
4549-ZDQYY,0,No,No,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),57.95,3042.25,Alpha
5712-AHQNN,0,No,No,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,Alpha
4846-WHAFZ,1,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Betha
5256-SKJGO,0,Yes,Yes,No,No phone service,No,Yes,No,Yes,Two year,Yes,Electronic check,54.6,3423.5,Alpha
3071-VBYPO,0,Yes,Yes,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,89.85,248.4,Alpha
9560-BBZXK,0,No,No,No,No phone service,Yes,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,Alpha
5299-RULOA,0,Yes,Yes,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,100.25,1064.65,Betha
8402-OOOHJ,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,Alpha
9445-ZUEQE,0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,Alpha
1091-SOZGA,0,Yes,Yes,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),99.8,5515.45,Alpha
2928-HLDBA,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,Alpha
0404-SWRVG,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Betha
6497-TILVL,0,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,Alpha
7219-TLZHO,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,Alpha
4622-YNKIJ,0,No,No,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,88.95,3027.65,Alpha
4412-YLTKF,1,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Betha
6734-PSBAW,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,1723.95,Alpha
3930-ZGWVE,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,19.75,Alpha
2639-UGMAZ,1,No,No,No,No phone service,Yes,Yes,No,No,One year,Yes,Electronic check,56.45,3985.35,Alpha
2876-GZYZC,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,85.95,1215.65,Alpha
6207-WIOLX,0,Yes,Yes,No,No phone service,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Betha
8587-XYZSF,0,No,No,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),50.55,3260.1,Alpha
3091-FYHKI,0,No,No,No,No phone service,No,No,No,No,Month-to-month,Yes,Electronic check,35.45,35.45,Betha
2372-HWUHI,0,No,No,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Betha
7799-LGRDP,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,1188.2,Alpha
7850-VWJUU,0,No,No,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75,1778.5,Alpha
3774-VBNXY,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,1277.75,Alpha
6217-KDYWC,0,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.6,1170.55,Alpha
0390-DCFDQ,1,Yes,No,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Betha
3146-MSEGF,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,Alpha
4080-OGPJL,0,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Betha
1095-WGNGG,0,Yes,No,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),101.05,5971.25,Alpha
2636-SJDOU,0,No,No,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),84.3,5289.05,Alpha
1131-QQZEB,1,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.95,1756.2,Alpha
5716-EZXZN,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),99.05,6416.7,Alpha
